Location,Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Cloud Cover,Relative Humidity,,Disease
"Karjat, MH, India","Karjat, MH, India",Week 5 (Jan) 2017,35.1,17.2,27.6,34.8,0,22.3,3.1,43.54,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 6 (Feb) 2017,34.1,20.2,26.3,33.4,0,20.5,5.1,55.2,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 7 (Feb) 2017,34.1,18.1,25.2,33.4,0,18.4,2.8,53.07,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 8 (Feb) 2017,39.1,19.9,29.4,37.3,0,20.5,3.7,39.76,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 9 (Feb) 2017,38.1,20,28.4,42.1,0,24.1,5.4,50.14,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 10 (Mar) 2017,37.1,20.1,28.7,39.5,0,22.3,2.5,45.76,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 11 (Mar) 2017,32.7,19.1,26.7,38.1,0,25.9,13.8,58.03,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 12 (Mar) 2017,36.1,19.2,28.1,38,0,24.1,3.4,50.51,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 13 (Mar) 2017,36.8,21.3,29.3,42.5,0,27.7,5.2,63.33,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 14 (Apr) 2017,39.1,25.4,30.1,45.9,0,25.9,24.1,67.8,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 15 (Apr) 2017,37.1,21.8,29.4,45.9,0,22.3,19.8,62.85,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 16 (Apr) 2017,37.2,24,30.6,48.1,0,22.3,9.6,65.57,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 17 (Apr) 2017,36.7,25.5,30.1,45.9,0,24.1,21.3,68.09,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 18 (Apr) 2017,34.7,25,29.6,42.1,0,29.5,24,65.5,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 19 (May) 2017,35.1,24.9,30.4,44.6,0.2,25.9,26.3,71.39,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 20 (May) 2017,40.1,25.7,31,46.6,19.6,25.9,37.3,69.75,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 21 (May) 2017,34.8,27,30.8,42.4,0,27.7,40.2,68.85,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 22 (May) 2017,36,27.3,31.1,43.7,0,27.7,43.9,69.85,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 23 (Jun) 2017,35.7,24.8,31.1,53.8,19.4,33.5,54.2,73.23,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 24 (Jun) 2017,34.1,22.2,29,45.5,167.01,27.7,71.3,78.52,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 25 (Jun) 2017,33.1,23.2,28.9,44,209.1,25.9,71.2,81.16,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 26 (Jun) 2017,34.1,22.2,29,45.5,293.28,33.5,70.9,79.92,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 27 (Jul) 2017,31.1,22.3,27.5,39.3,692.7,33.5,88.4,87.84,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 28 (Jul) 2017,32.1,22.4,28.7,40.8,219.08,33.5,67.7,80.91,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 29 (Jul) 2017,32.1,22.3,28,40.8,641.41,31.7,78.2,82.25,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 30 (Jul) 2017,30.1,21.2,26.5,37.6,831.43,37.1,88.8,91.23,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 31 (Jul) 2017,31.1,20.4,27.7,40.8,219.37,33.5,79,84.62,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 32 (Aug) 2017,31.1,22.3,27.9,39.3,142.99,31.7,80.2,82.9,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 33 (Aug) 2017,32.1,21.8,28,42.5,127.96,27.7,72.9,80.9,,Stem Rot
